"BoothName"
"Pick A Pop"
"Potty Toss"
"Dime Pitch"
"Over & Under"
"Roll On Star"
"Lucky Duck"
"Spin The Wheel"
"Cover The Spot"
"Skee Ball"
"Ring Rope Toss"
"Bottle Rings"
"Plinko"
"Hoopla"
"Can Toss"
"Frogger"
"Stand A Bottle"
"Bucket Ball Toss"
"Tic Tac Toe"
"Double Or Nothing"
"PinStrike"
"End Zone"
"Free Throw"
"Novelty Table"
"High School Dining (Lounge)"
"Bake Sale"
"Pumpkin Patch"
"Floaters"
